date,daOfWeek,holidayName,productName,quantity,price
2012/5/2,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/5/3,Thu,憲法記念日,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/5/4,Fri,みどりの日,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1134
2012/5/5,Sat,こどもの日,赤城　ガリガリ君ソーダ　１１３ｍｌ,20,1000
2012/5/6,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,17,850
2012/5/7,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,9,450
2012/5/8,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,100
2012/5/9,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/5/10,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,244
2012/5/11,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/5/12,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/5/13,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,693
2012/5/14,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/5/15,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/5/16,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1134
2012/5/17,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/5/18,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/5/19,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,12,600
2012/5/20,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,900
2012/5/21,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,300
2012/5/22,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,752
2012/5/23,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/5/24,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/5/25,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/5/26,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,13,572
2012/5/27,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/5/28,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/5/29,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/5/30,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/5/31,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/6/1,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,300
2012/6/2,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,150
2012/6/3,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,500
2012/6/4,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,12,600
2012/6/5,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,882
2012/6/6,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/6/7,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,5,315
2012/6/8,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/6/9,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/6/10,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,630
2012/6/11,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/6/12,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,5,315
2012/6/13,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/6/14,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/6/15,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,764
2012/6/16,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,13,650
2012/6/17,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,34,1700
2012/6/18,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,200
2012/6/19,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,194
2012/6/20,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/6/21,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/6/22,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/6/23,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,792
2012/6/24,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,433
2012/6/25,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/6/26,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/6/27,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,693
2012/6/28,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/6/29,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/6/30,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,685
2012/7/1,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,28,1400
2012/7/2,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,17,850
2012/7/3,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,300
2012/7/4,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,9,567
2012/7/5,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,421
2012/7/6,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,693
2012/7/7,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,13,819
2012/7/8,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/7/9,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/7/10,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,15,945
2012/7/11,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,20,1260
2012/7/12,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,630
2012/7/13,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,14,882
2012/7/14,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,400
2012/7/15,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,29,1450
2012/7/16,Mon,海の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,31,1508
2012/7/17,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,29,1408
2012/7/18,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,26,1638
2012/7/19,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,27,1701
2012/7/20,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,630
2012/7/21,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,17,1071
2012/7/22,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,594
2012/7/23,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1134
